gen,island,rle_novelty,diversity,temp,resource,seed
6,"(1, 3)",0.5333333333333332,0.03438345855527369,0.5,0.9484248121670893,1234
6,"(2, 0)",0.5066666666666667,0.03499841266241784,0.5,0.9475023810063729,1234
6,"(2, 2)",0.5033333333333334,0.01982142499642469,0.5,0.9702678625053631,1234
6,"(2, 4)",0.48400000000000004,0.047187568984497046,0.5,0.9292186465232546,1234
6,"(3, 1)",0.518,0.044939465456940594,0.5,0.9325908018145898,1234
6,"(3, 3)",0.5166666666666666,0.03997777160150655,0.5,0.9400333425977394,1234
7,"(0, 0)",0.5353333333333334,0.042342518688534454,0.5,0.936486221967199,1234
7,"(0, 2)",0.5433333333333333,0.03151013946159061,0.5,0.9527347908076147,1234
7,"(0, 4)",0.51,0.04245782220824176,0.5,0.9363132666876375,1234
7,"(1, 1)",0.5286666666666667,0.026280537792569374,0.5,0.9605791933111465,1234
7,"(1, 3)",0.5286666666666667,0.017461067804945066,0.5,0.9738083982925829,1234
7,"(2, 0)",0.5233333333333333,0.028952067667477956,0.5,0.9565718984987828,1234
7,"(2, 2)",0.48200000000000004,0.04096611065529925,0.5,0.9385508340170509,1234
7,"(2, 4)",0.5173333333333334,0.04277070648625451,0.5,0.9358439402706178,1234
7,"(3, 1)",0.5366666666666667,0.03222145592958554,0.5,0.9516678161056221,1234
7,"(3, 3)",0.5073333333333334,0.03629508690350987,0.5,0.9455573696447358,1234
8,"(0, 0)",0.5479999999999999,0.02792052212182924,0.5,0.9581192168172561,1234
8,"(0, 2)",0.528,0.03059411708155672,0.5,0.9541088243776643,1234
8,"(0, 4)",0.5273333333333334,0.02497999199359361,0.5,0.96253001200961,1234
8,"(1, 1)",0.5253333333333333,0.03282275633357647,0.5,0.9507658654996345,1234
8,"(1, 3)",0.5246666666666666,0.030940803695659453,0.5,0.953588794456511,1234
8,"(2, 0)",0.5339999999999999,0.046159144994970036,0.5,0.9307612825075442,1234
8,"(2, 2)",0.5013333333333334,0.03302524287066891,0.5,0.9504621356939965,1234
8,"(2, 4)",0.484,0.041117717186958065,0.5,0.9383234242195628,1234
8,"(3, 1)",0.5346666666666666,0.02743882083634225,0.5,0.9588417687454872,1234
8,"(3, 3)",0.5053333333333332,0.04430199393556307,0.5,0.933547009096656,1234
9,"(0, 0)",0.5246666666666666,0.04208985098043892,0.5,0.9368652235293414,1234
9,"(0, 2)",0.5073333333333334,0.03611094017053557,0.5,0.9458335897441974,1234
9,"(0, 4)",0.5226666666666666,0.026025628394590855,0.5,0.9609615574081145,1234
9,"(1, 1)",0.5226666666666666,0.04157990967870047,0.5,0.9376301354819491,1234
9,"(1, 3)",0.5413333333333334,0.031930480039541465,0.5,0.9521042799406878,1234
9,"(2, 0)",0.5333333333333333,0.033105890714493706,0.5,0.9503411639282602,1234
9,"(2, 2)",0.504,0.048826222462934825,0.5,0.9267606663055985,1234
9,"(2, 4)",0.482,0.041182520563948014,0.5,0.9382262191540777,1234
9,"(3, 1)",0.5253333333333334,0.03193048003954147,0.5,0.9521042799406878,1234
9,"(3, 3)",0.5146666666666666,0.03241398874971526,0.5,0.9513790168754268,1234
10,"(0, 0)",0.5266666666666667,0.03094080369565945,0.5,0.953588794456511,1234
10,"(0, 2)",0.502,0.052255781179374475,0.5,0.9216163282309383,1234
10,"(0, 4)",0.5239999999999999,0.04410089442277661,0.5,0.9338486583658359,1234
10,"(1, 1)",0.5146666666666666,0.02061283311165376,0.5,0.9690807503325191,1234
10,"(1, 3)",0.5173333333333333,0.03678163793102327,0.5,0.9448275431034644,1234
10,"(2, 0)",0.5159999999999999,0.04090096440047458,0.5,0.9386485533992885,1234
10,"(2, 2)",0.5073333333333334,0.04798147790785755,0.5,0.928027783138213,1234
10,"(2, 4)",0.4893333333333334,0.044969125210773474,0.5,0.9325463121838403,1234
10,"(3, 1)",0.5233333333333333,0.046024148250915234,0.5,0.9309637776236276,1234
10,"(3, 3)",0.5253333333333333,0.035925849560819956,0.5,0.9461112256587708,1234
11,"(0, 0)",0.5173333333333333,0.0308688984074406,0.5,0.9536966523888398,1234
11,"(0, 2)",0.5006666666666666,0.029844039047465867,0.5,0.9552339414288005,1234
11,"(0, 4)",0.5266666666666667,0.0419311605160437,0.5,0.9371032592259351,1234
11,"(1, 1)",0.518,0.028440972010268722,0.5,0.9573385419845972,1234
11,"(1, 3)",0.5053333333333333,0.02825282680055613,0.5,0.9576207597991651,1234
11,"(2, 0)",0.5066666666666666,0.034998412662417856,0.5,0.9475023810063729,1234
11,"(2, 2)",0.46266666666666667,0.05473166867139678,0.5,0.9179024969929042,1234
